loss,reward
0.436185359954834,65.0
14.127510070800781,243.0
0.3974711000919342,211.0
0.6895084381103516,197.0
0.8210257887840271,449.0
5.0011887550354,89.0
0.17559698224067688,252.0
0.6362659931182861,198.0
0.23850388824939728,238.0
0.5643935799598694,190.0
3.5115694999694824,26.0
0.36010807752609253,75.0
0.27140411734580994,230.0
0.33052384853363037,309.0
0.560158371925354,284.0
0.5282546281814575,482.0
0.33506566286087036,58.0
0.6096335649490356,119.0
1.0695679187774658,500.0
0.2602783739566803,201.0
11.716885566711426,161.0
1.417107343673706,87.0
0.07572831958532333,180.0
0.1062290370464325,365.0
0.169439435005188,182.0
0.11153773963451385,169.0
0.14022299647331238,187.0
0.17261561751365662,258.0
0.1309640109539032,120.0
0.4464932382106781,177.0
0.28599148988723755,30.0
0.17526844143867493,178.0
0.15628582239151,17.0
0.2055533230304718,194.0
0.20868030190467834,133.0
0.0969470739364624,240.0
0.6109091639518738,268.0
0.2793669104576111,141.0
0.2652580738067627,14.0
5.150704860687256,177.0
0.11612251400947571,114.0
0.410239577293396,218.0
0.3177831470966339,204.0
2.4545960426330566,193.0
0.09463942795991898,169.0
3.2116308212280273,170.0
0.18231403827667236,159.0
0.12000182271003723,238.0
0.37279969453811646,91.0
0.11357221752405167,162.0
0.292799711227417,204.0
8.964839935302734,216.0
8.322693824768066,71.0
0.24413053691387177,156.0
0.58083575963974,269.0
3.4132611751556396,72.0
0.04482197016477585,191.0
0.359872430562973,219.0
0.3938761353492737,251.0
0.13680650293827057,260.0
0.08962424099445343,33.0
0.21761620044708252,167.0
0.19374577701091766,227.0
0.26071611046791077,58.0
0.0596577450633049,193.0
1.346753478050232,231.0
2.3580846786499023,224.0
0.11541937291622162,214.0
0.14542020857334137,174.0
4.340471267700195,212.0
0.17143383622169495,463.0
0.064152792096138,249.0
0.05586961656808853,179.0
0.029109541326761246,159.0
0.09404964745044708,62.0
0.07043864578008652,198.0
0.1320618987083435,195.0
0.09923174977302551,229.0
0.13274843990802765,188.0
0.12483232468366623,233.0
0.06632911413908005,310.0
0.10968329012393951,206.0
0.12666776776313782,56.0
0.05979079008102417,228.0
0.06943576782941818,184.0
1.4808480739593506,34.0
0.16454005241394043,179.0
0.08883161097764969,239.0
0.04366977512836456,162.0
0.08008328825235367,112.0
0.04102929309010506,150.0
0.15696147084236145,193.0
0.08824927359819412,210.0
1.0614277124404907,65.0
0.2972070276737213,11.0
0.15919581055641174,14.0
0.10490824282169342,201.0
0.1689598709344864,202.0
0.08304207026958466,225.0
0.07716529071331024,141.0
