loss,reward
1.2995344400405884,33.0
0.9958682060241699,27.0
1.1122750043869019,10.0
0.545318603515625,25.0
0.25642120838165283,109.0
1.3673990964889526,121.0
0.26531580090522766,119.0
0.2569999098777771,72.0
0.9519831538200378,21.0
0.32069969177246094,91.0
0.7631579041481018,32.0
1.3016016483306885,13.0
0.28272029757499695,22.0
0.2702346444129944,147.0
0.7531970739364624,94.0
0.402792364358902,157.0
0.3149509131908417,18.0
0.5159995555877686,151.0
0.3592674136161804,170.0
0.3031142055988312,33.0
1.6323845386505127,104.0
0.12763994932174683,111.0
0.9483643770217896,30.0
0.5822242498397827,23.0
0.16119639575481415,107.0
0.4014703333377838,122.0
0.9338957667350769,135.0
0.23755550384521484,107.0
0.4888150990009308,186.0
0.1823870986700058,134.0
1.8266983032226562,30.0
0.2578579783439636,91.0
0.9245206117630005,38.0
1.3044471740722656,122.0
0.5370869040489197,12.0
0.3653033971786499,15.0
0.29042643308639526,11.0
0.8907550573348999,71.0
0.5384480357170105,115.0
0.3856981694698334,111.0
0.4065949022769928,28.0
1.051214575767517,27.0
0.4319085478782654,139.0
0.21261438727378845,198.0
1.0812041759490967,38.0
1.1613062620162964,151.0
1.5980126857757568,32.0
0.18252304196357727,19.0
0.9649226069450378,86.0
1.4967247247695923,116.0
0.1493373066186905,113.0
1.111388087272644,127.0
0.41553646326065063,216.0
0.30217039585113525,117.0
1.315972089767456,135.0
0.6010652184486389,158.0
0.4116098880767822,147.0
1.7999440431594849,37.0
0.25705936551094055,16.0
0.6356784105300903,69.0
1.1623682975769043,108.0
1.2804757356643677,21.0
0.2007932960987091,14.0
0.27334052324295044,93.0
0.3056080937385559,126.0
0.5251014828681946,52.0
0.262253999710083,24.0
0.3097441792488098,174.0
0.10708650946617126,52.0
0.20102395117282867,104.0
0.38959917426109314,114.0
0.4995853900909424,208.0
0.14865127205848694,118.0
0.3183359205722809,115.0
0.3287166953086853,182.0
0.19739514589309692,62.0
0.23795896768569946,13.0
0.5872167348861694,159.0
1.838407278060913,126.0
1.0594830513000488,13.0
1.7108345031738281,29.0
0.6618168354034424,70.0
0.32559895515441895,16.0
0.15917806327342987,96.0
0.47232943773269653,22.0
1.4914153814315796,19.0
0.5346826910972595,162.0
0.2715226411819458,238.0
0.3502531349658966,58.0
0.8335925340652466,14.0
0.4613063931465149,32.0
0.4198153018951416,124.0
0.4222765564918518,135.0
0.1761753261089325,25.0
0.5096498727798462,29.0
0.315114289522171,23.0
1.298165202140808,58.0
0.3603002727031708,14.0
0.2893230617046356,130.0
0.35972994565963745,113.0
0.33632177114486694,18.0
0.46778520941734314,39.0
0.1714678257703781,33.0
0.1982680857181549,24.0
1.2351025342941284,110.0
0.1911325454711914,95.0
0.39317595958709717,120.0
1.0573773384094238,117.0
0.27132293581962585,17.0
0.21084579825401306,102.0
0.2933480441570282,15.0
0.42939242720603943,22.0
0.7207071185112,152.0
0.3914007246494293,112.0
0.49366816878318787,16.0
0.22867116332054138,145.0
0.43321049213409424,114.0
0.6483603715896606,132.0
0.08840220421552658,103.0
0.3470022976398468,110.0
0.14658322930335999,122.0
0.46747949719429016,18.0
0.3082500398159027,202.0
0.3127245008945465,113.0
0.28511226177215576,54.0
0.30739155411720276,106.0
0.49006983637809753,93.0
0.28718921542167664,99.0
0.2369982749223709,74.0
0.6624667644500732,106.0
0.3348371386528015,25.0
0.22057288885116577,133.0
0.1840173304080963,40.0
0.3298063278198242,119.0
1.341194987297058,47.0
1.096254825592041,141.0
0.41506969928741455,14.0
1.1037548780441284,103.0
0.3139929473400116,24.0
0.22730013728141785,117.0
0.21676957607269287,106.0
0.5107643008232117,88.0
0.8614453077316284,241.0
0.24135525524616241,118.0
1.1427652835845947,20.0
1.5317171812057495,17.0
1.3474146127700806,113.0
0.527798056602478,103.0
0.6275863647460938,27.0
0.19288714230060577,54.0
0.21583625674247742,104.0
0.5162806510925293,76.0
1.2116913795471191,12.0
0.3709591031074524,154.0
0.8480093479156494,116.0
0.4926053285598755,120.0
0.586431086063385,71.0
0.32085472345352173,110.0
0.27320656180381775,20.0
0.2260875701904297,110.0
0.3058784604072571,106.0
0.7461798787117004,111.0
0.3134891390800476,100.0
0.2464439570903778,14.0
0.14854486286640167,12.0
0.3256939649581909,157.0
0.3101886510848999,18.0
1.267909288406372,10.0
1.4839802980422974,117.0
1.3449727296829224,28.0
0.22026386857032776,97.0
1.0448119640350342,180.0
0.1110202819108963,17.0
0.17955350875854492,163.0
